Nombre Estacion,Latitude,Longitude,Alcaldia
RIO SENA - RIO BALSAS E1,19.43357361,-99.16781243,CUAUHTEMOC
RIO GUADALQUIVIR - RIO BALSAS E2,19.43139026,-99.17169704,CUAUHTEMOC
REFORMA - INSURGENTES E3,19.43166286,-99.15866598,CUAUHTEMOC
RIO NILO - RIO PANUCO E4,19.42831635,-99.17171195,CUAUHTEMOC
RIO PANUCO - RIO TIBER E5,19.42972031,-99.16936277,CUAUHTEMOC
RIO PANUCO - RIO SENA E6,19.43092819,-99.16695697,CUAUHTEMOC
RIO ELBA - RIO LERMA E7,19.42547122,-99.17516598,CUAUHTEMOC
REFORMA - GENERAL PRIM E8,19.43114098,-99.1583175,CUAUHTEMOC
RIO GUADALQUIVIR - RIO LERMA E9,19.42800953,-99.16992015,CUAUHTEMOC
REFORMA - RAMIREZ E10,19.43332197,-99.15475104,CUAUHTEMOC
RIO AMAZONAS - RIO LERMA E11,19.43099312,-99.16359383,CUAUHTEMOC
RIO LERMA - VILLALONGIN E12,19.43232527,-99.1615967,CUAUHTEMOC
REFORMA - RIO MISSISSIPPI E13,19.42502389,-99.17230759,CUAUHTEMOC
REFORMA - RIO DE PLATA E14,19.42477029,-99.1732619,CUAUHTEMOC
REFORMA - RIO MISSISSIPPI E15,19.42547921,-99.17156699,CUAUHTEMOC
REFORMA - RIO TIBER E16,19.42722993,-99.16824257,CUAUHTEMOC
REFORMA - RIO TIBER E17,19.42750348,-99.16712568,CUAUHTEMOC
REFORMA - RIO RHIN E18,19.42887914,-99.16417536,CUAUHTEMOC
REFORMA - RIO RHIN E19,19.42924307,-99.16337555,CUAUHTEMOC
REFORMA- RIO TAMESIS E20,19.43096504,-99.16020609,CUAUHTEMOC
REFORMA - DUBLIN E21,19.42472248,-99.172061,CUAUHTEMOC
REFORMA - MANCHESTER E22,19.42438073,-99.17257732,CUAUHTEMOC
REFORMA - PRAGA E23,19.42517152,-99.1710518,CUAUHTEMOC
REFORMA- VARSOVIA E24,19.42647217,-99.1682188,CUAUHTEMOC
REFORMA - ESTOCOLMO E25,19.42732207,-99.16666395,CUAUHTEMOC
REFORMA - VERSALLES E26,19.43268436,-99.15472854,CUAUHTEMOC
REFORMA- HAVRE E27,19.42912329,-99.16261423,CUAUHTEMOC
TOLEDO- TOKIO E28,19.42354802,-99.17249502,CUAUHTEMOC
REFORMA - BUCARELI E29,19.43492142,-99.1499371,CUAUHTEMOC
HAMBURGO - GENOVA E30,19.42644185,-99.16432491,CUAUHTEMOC
HAMBURGO - INSURGENTES E31,19.42783691,-99.16119279,CUAUHTEMOC
