,Horas,Total_Usos,Usos_Gen_F,Usos_Gen_M
0,01:00:00,10169,1872,8297
1,02:00:00,80,15,65
2,03:00:00,46,12,34
3,04:00:00,35,7,28
4,05:00:00,35,5,30
5,06:00:00,13714,2914,10800
6,07:00:00,59536,14587,44949
7,08:00:00,152534,38105,114429
8,09:00:00,293985,74004,219981
9,10:00:00,230900,56096,174804
10,11:00:00,155718,38958,116760
11,12:00:00,139662,34257,105405
12,13:00:00,147119,35871,111248
13,14:00:00,177870,42624,135246
14,15:00:00,222373,53695,168678
15,16:00:00,219661,53525,166136
16,17:00:00,182764,45101,137663
17,18:00:00,208609,53692,154917
18,19:00:00,286476,71974,214502
19,20:00:00,237233,56723,180510
20,21:00:00,146101,33600,112501
21,22:00:00,96032,21354,74678
22,23:00:00,58804,12025,46779
23,24:00:00,33175,6046,27129
