,Horas,Total_Usos,Usos_Gen_F,Usos_Gen_M,Usos_Otro
0,01:00:00,3508,763,2685,60
1,02:00:00,12,3,9,0
2,03:00:00,0,0,0,0
3,04:00:00,0,0,0,0
4,05:00:00,168,13,148,7
5,06:00:00,3535,614,2912,9
6,07:00:00,12862,3439,9385,38
7,08:00:00,26936,7567,19256,113
8,09:00:00,50902,13947,36575,380
9,10:00:00,48566,13050,34676,840
10,11:00:00,42106,11460,29254,1392
11,12:00:00,42894,11375,29433,2086
12,13:00:00,46967,12565,32312,2090
13,14:00:00,54048,14403,37513,2132
14,15:00:00,61751,16111,43863,1777
15,16:00:00,58860,15897,41187,1776
16,17:00:00,52368,14377,36196,1795
17,18:00:00,55434,15516,38263,1655
18,19:00:00,63519,17299,45040,1180
19,20:00:00,51674,13352,37397,925
20,21:00:00,35331,8789,25902,640
21,22:00:00,23966,5449,18065,452
22,23:00:00,15980,3409,12273,298
23,24:00:00,9934,2086,7665,183
