Nombre Estacion,Latitude,Longitude,Total Usuarios Decada
RIO SENA - RIO BALSAS E1,19.43357361,-99.16781243,226000
RIO GUADALQUIVIR - RIO BALSAS E2,19.43139026,-99.17169704,81874
REFORMA - INSURGENTES E3,19.43166286,-99.15866598,101704
RIO NILO - RIO PANUCO E4,19.42831635,-99.17171195,79320
RIO PANUCO - RIO TIBER E5,19.42972031,-99.16936277,74864
RIO PANUCO - RIO SENA E6,19.43092819,-99.16695697,107694
RIO ELBA - RIO LERMA E7,19.42547122,-99.17516598,102131
REFORMA - GENERAL PRIM E8,19.43114098,-99.1583175,72374
RIO GUADALQUIVIR - RIO LERMA E9,19.42800953,-99.16992015,78383
REFORMA - RAMIREZ E10,19.43332197,-99.15475104,125588
RIO AMAZONAS - RIO LERMA E11,19.43099312,-99.16359383,94810
RIO LERMA - VILLALONGIN E12,19.43232527,-99.1615967,68355
REFORMA - RIO MISSISSIPPI E13,19.42502389,-99.17230759,98378
REFORMA - RIO DE PLATA E14,19.42477029,-99.1732619,119309
REFORMA - RIO MISSISSIPPI E15,19.42547921,-99.17156699,134229
REFORMA - RIO TIBER E16,19.42722993,-99.16824257,129851
REFORMA - RIO TIBER E17,19.42750348,-99.16712568,121994
REFORMA - RIO RHIN E18,19.42887914,-99.16417536,193763
REFORMA - RIO RHIN E19,19.42924307,-99.16337555,131861
REFORMA- RIO TAMESIS E20,19.43096504,-99.16020609,113795
REFORMA - DUBLIN E21,19.42472248,-99.172061,152772
REFORMA - MANCHESTER E22,19.42438073,-99.17257732,89520
REFORMA - PRAGA E23,19.42517152,-99.1710518,135820
REFORMA- VARSOVIA E24,19.42647217,-99.1682188,143980
REFORMA - ESTOCOLMO E25,19.42732207,-99.16666395,134552
REFORMA - VERSALLES E26,19.43268436,-99.15472854,101192
REFORMA- HAVRE E27,19.42912329,-99.16261423,273434
TOLEDO- TOKIO E28,19.42354802,-99.17249502,139108
REFORMA - BUCARELI E29,19.43492142,-99.1499371,100779
HAMBURGO - GENOVA E30,19.42644185,-99.16432491,72980
HAMBURGO - INSURGENTES E31,19.42783691,-99.16119279,121426
LONDRES - SEVILLA E32,19.42270762,-99.16992038,131674
LONDRES - FLORENCIA E33,19.42423587,-99.16643321,64773
LIVERPOOL - GENOVA E34,19.42473318,-99.16333684,106421
LIVERPOOL - GENOVA E35,19.42468027,-99.1632905,107814
PUEBLA - VERACRUZ E36,19.41972321,-99.17577894,195571
GUADALAJARA - PUEBLA E37,19.4204223,-99.17267928,106152
COZUMEL - PUEBLA E38,19.4208065,-99.17140615,115051
PUEBLA - MEDELLIN E39,19.42176242,-99.16694305,84825
OAXACA - PUEBLA E40,19.42223274,-99.16429842,70860
REFORMA - AV. DE LA REPUBLICA E41,19.43564064,-99.15013645,193198
SINALOA - VALLADOLID E42,19.4204739,-99.16823664,68519
REVILLAGIGEDO - JUAREZ E43,19.43523448,-99.14606543,158359
DURANGO - VERACRUZ E44,19.41806465,-99.17475954,69337
DURANGO - SONORA E45,19.41864949,-99.17212579,110387
DURANGO - SALAMANCA E46,19.41921843,-99.16973391,105648
GLORIETA CIBELES - OAXACA E47,19.41952404,-99.16629754,130977
INDEPENDENCIA - AZUETA E48,19.43369089,-99.146559,64456
MAZATLAN - JUAN DE LA BARRERA E49,19.41672167,-99.17570271,98603
CUERNAVACA - VERACRUZ E50,19.41694264,-99.17364888,59437
COLIMA - OAXACA E51,19.4179935,-99.16824695,116348
HIDALGO - TRUJANO E52,19.43623587,-99.14204225,102597
FERNANDO MONTES DE OCA - TULA E53,19.41477346,-99.17843338,128906
PARQUE ESPAÑA - SONORA E54,19.41622339,-99.17082766,106152
5 DE MAYO - BOLIVAR E55,19.4343636,-99.13806634,53065
ALVARO OBREGON - MEDELLIN E56,19.4169629,-99.16570412,109812
CUERNAVACA - JUAN ESCUTIA E57,19.4149074,-99.17495191,63720
PARQUE ESPAÑA - JUAN DE LA BARRERA E58,19.41568662,-99.1717926,74499
POPOCATEPETL - AMSTERDAM E59,19.41512027,-99.16665893,107674
MAZATLAN - FERNANDO MONTES DE OCA E60,19.41419995,-99.17712616,85638
AVENIDA MEXICO - SONORA E61,19.41374592,-99.16952356,104454
FERNANDO MONTES DE OCA - AMATLAN E62,19.41333108,-99.17520561,60937
NUEVO LEON - LAREDO E63,19.41368378,-99.17152887,114771
SONORA - AMSTERDAM E64,19.41288423,-99.16698729,171973
MARCONI - TACUBA E65,19.43614751,-99.13990586,46535
MAZATLAN - FRANCISCO MARQUEZ E66,19.411409,-99.17866326,110978
VICENTE SUAREZ - MICHOACAN E67,19.41180177,-99.17588182,81643
TAMAULIPAS - MICHOACAN E68,19.41156065,-99.17406208,92675
MICHOACAN - AMSTERDAM E69,19.41073773,-99.16811289,93978
PARQUE MEXICO - MICHOACAN E70,19.41127625,-99.16971655,78272
AMSTERDAM - MICHOACAN E71,19.41142507,-99.17135232,86456
MAZATLAN - ALFONSO REYES E72,19.40990014,-99.179546,101804
CAMPECHE - TAMAULIPAS E73,19.41025012,-99.17561313,95781
NUEVO LEON - OZULAMA E74,19.41034424,-99.17283364,133408
ALFONSO REYES - ATLIXCO E75,19.40872694,-99.17668969,76563
CHILPANCINGO - CAMPECHE E76,19.40873647,-99.16991615,77598
CHOAPAN - TAMAULIPAS E77,19.40677153,-99.1783198,91502
BENJAMIN HILL - TAMAULIPAS E78,19.40751092,-99.17738243,69627
SALTILLO - ALFONSO REYES E79,19.40753941,-99.17442671,84770
NUEVO LEON - AGUASCALIENTES E80,19.40730769,-99.17212025,90862
AGUASCALIENTES - INSURGENTES E81,19.40800424,-99.16847661,49101
INDEPENDENCIA - MARROQUI E82,19.43311864,-99.14368965,77578
NUEVO LEON - ALFONSO REYES E83,19.40629687,-99.17211821,71767
CHILPANCINGO - TLAXCALA E84,19.40702561,-99.16958885,126210
ROSAS MORENO - SULLIVAN E85,19.43425429,-99.16250671,112467
SULLIVAN - INSURGENTES E86,19.43238257,-99.15907884,132120
GANTE - VENUSTIANO CARRANZA E87,19.43183059,-99.13974302,71925
2A CERRADA DE 5 DE MAYO - PALMA E88,19.43381755,-99.13530422,26129
REPUBLICA DE GUATEMALA - MONTE DE PIEDAD E89,19.43494431,-99.13398669,25743
JOSE MARIA PINO SUAREZ - CORREGIDORA E90,19.43170257,-99.13244573,39994
REPUBLICA DE CUBA - ALLENDE E91,19.43740188,-99.13757215,27943
SAN ILDEFONSO - REPUBLICA DE ARGENTINA E92,19.43652909,-99.13149504,34811
PALMA NORTE - REPUBLICA DE CUBA E93,19.43674779,-99.13480964,21667
LIC. VERDAD - MONEDA E94,19.43376861,-99.13091659,18867
20 DE NOVIEMBRE - VENUSTIANO CARRANZA E95,19.43072228,-99.13369925,42007
LOPEZ - AYUNTAMIENTO E96,19.43063483,-99.14248012,77278
REPUBLICA DE SALVADOR - PINO SUAREZ E97,19.42919383,-99.1327602,30381
EMILIO DONDE - AV. BALDERAS E98,19.43026647,-99.14860732,46273
ERNESTO PUGIBET - LUIS MOYA E99,19.4299568,-99.14590994,49655
20 DE NOVIEMBRE - MESONES E100,19.42848717,-99.13380217,15297
1ER. CALLEJON DE MESONES - MESONES E101,19.42836409,-99.13589348,28262
ECHEVESTE - BOLIVAR E102,19.42821127,-99.13948771,24958
JOAQUIN VELAZQUEZ DE LEON - GARCIA ICAZBALCETA E103,19.4416673,-99.16521601,47013
SAN JERONIMO - ISABEL LA CATOLICA E104,19.42705892,-99.13711716,30456
SAN JERONIMO - 5 DE FEBRERO E105,19.42675437,-99.13501286,44524
SAN JERONIMO - JOSE MARIA PINO SUAREZ E106,19.42649368,-99.13353874,51730
TOLSA - BALDERAS E107,19.42733372,-99.14997032,77660
TOLSA - BALDERAS E108,19.42731412,-99.14953568,39324
NEZAHUALCOYOTL - ISABEL LA CATOLICA E109,19.4253186,-99.13742747,46465
DR. VALENZUELA - DR. RIO DE LA LOZA E110,19.42513745,-99.14338749,44098
GUILLERMO PRIETO - JOAQUIN VELAZQUEZ DE LEON E111,19.43824277,-99.1659446,69441
AV. MORELOS - ABRAHAM GONZALEZ E112,19.43282588,-99.15173598,50934
GENERAL PRIM - VERSALLES E113,19.4303676,-99.15441718,72714
LUCERNA - ABRAHAM GONZALEZ E114,19.42899124,-99.15361752,71699
ROMA - DINAMARCA E115,19.42995203,-99.15969578,69115
LONDRES - ROMA E116,19.42899136,-99.15663845,80481
LONDRES - NAPOLES E117,19.42713881,-99.16037237,77174
LIVERPOOL - DINAMARCA E118,19.42712032,-99.15825279,59552
TURIN - ABRAHAM GONZALEZ E119,19.42679835,-99.15553937,83354
MARSELLA - NAPOLES E120,19.42544293,-99.15945779,47838
NIZA - CHAPULTEPEC E121,19.42414487,-99.16131636,73577
JOSE MARIA VERTIZ - AV. DR. RIO DE LA LOZA E122,19.42550056,-99.14633788,56139
CLAUDIO BERNARD - DR. LAVISTA E123,19.42416439,-99.15312033,75959
CLAUDIO BERNARD - DR. LICEAGA E124,19.42239297,-99.15035315,82379
MORELIA - CIRCULAR DE MORELIA E125,19.42454201,-99.15620398,59330
JALAPA - PUEBLA E126,19.42229306,-99.16213692,68864
PUEBLA - MERIDA E127,19.42332403,-99.15832776,75984
ORIZABA - RIO DE JANEIRO E128,19.42215099,-99.16064566,54164
TONALA - DURANGO E129,19.42060437,-99.16331209,72086
MERIDA - DURANGO E130,19.42157372,-99.1580163,50421
COLIMA - JALAPA E131,19.41958264,-99.16131613,58736
COLIMA - FRONTERA E132,19.42067333,-99.15645131,82024
COLIMA - MORELIA E133,19.42114064,-99.15472447,72499
ALVARO OBREGON - ORIZABA E134,19.41830701,-99.1595615,115121
ALVARO OBREGON - MORELIA E135,19.41922816,-99.15509693,81363
TONALA - ALVARO OBREGON E136,19.41772138,-99.16272472,83231
ALVARO OBREGON - MERIDA E137,19.41878266,-99.15708399,74103
GUANAJUATO - FRONTERA E138,19.41771168,-99.15530947,53993
TONALA - GUANAJUATO E139,19.41613341,-99.16209973,83875
MERIDA - ZACATECAS E140,19.41660635,-99.15685321,74123
ZACATECAS - LUIS CABRERA E141,19.41590916,-99.15954121,80157
SAN LUIS POTOSI - EJE 2 PTE. MONTERREY E142,19.41323521,-99.16411641,69398
CORDOBA - SAN LUIS POTOSI E143,19.41431019,-99.15754491,68053
FRONTERA - SAN LUIS POTOSI E144,19.41520121,-99.15483442,83908
EJE 2 SUR YUCATAN - CHIAPAS E145,19.41286228,-99.16066095,66454
COAHUILA - MANZANILLO E146,19.4107416,-99.16571654,81657
COAHUILA - ORIZABA E147,19.4121836,-99.15844635,59962
COAHUILA - AV. CUAUHTEMOC E148,19.41283141,-99.15511266,63663
MERIDA - ANTONIO ANZA E149,19.41199269,-99.15570089,77920
CAMPECHE - MEDELLIN E150,19.40996908,-99.16429332,65838
CAMPECHE - TONALA E151,19.41053646,-99.16087105,66388
TLACOTALPAN - CAMPECHE E152,19.40910154,-99.16717848,68602
MANZANILLO - TLAXCALA E153,19.40747102,-99.16513882,50281
TUXPAN - TLAXCALA E154,19.40669397,-99.16796101,51914
JALAPA - TLAXCALA E155,19.40822003,-99.15991041,37248
TEPIC - ARIO E156,19.40698428,-99.16298534,63767
TEPIC - TLACOTALPAN E157,19.40623605,-99.16661557,50064
HUATABAMPO - EJE 1 PTE. AV. CUAUHTEMOC E158,19.40744896,-99.15571879,77328
HUATABAMPO - EJE 1 PTE. AV. CUAUHTEMOC E159,19.40751791,-99.15537229,41888
ALFONSO HERRERA - GABINO BARRERA E160,19.44025256,-99.16346275,53242
QUINTANA ROO - MANZANILLO E161,19.40553735,-99.16491547,63906
TEHUANTEPEC - MEDELLIN E162,19.40490846,-99.16248593,62999
TOLUCA - BAJIO E163,19.40525698,-99.1564344,64781
BAJIO - TLACOTALPAN E164,19.40320874,-99.16596145,54556
BAJIO - EJE 2 PTE. MONTERREY E165,19.40427007,-99.16050531,54129
JOAQUIN GARCIA - IGNACIO MANUEL ALTAMIRANO E174,19.44111355,-99.16163791,48067
LUIS DONALDO COLOSIO - AV. JESUS GARCIA E176,19.44269049,-99.15228798,60918
BENJAMIN HILL - CARLOS ZETINA E177,19.40884607,-99.18169159,50175
TAMAULIPAS - FRANCISCO MURGUIA E178,19.40683267,-99.1804555,47766
NUEVO LEON - QUINTANA ROO E179,19.40445428,-99.1714379,46771
QUINTANA ROO - VILLA HERMOSA E180,19.40455778,-99.16995407,52684
BENJAMIN FRANKLIN - OMETUSCO E181,19.4047286,-99.17448034,89574
GABINO BARRERA - GUILLERMO PRIETO E183,19.43767628,-99.16401751,62191
ALFONSO HERRERA - MIGUEL SHULTZ E254,19.43935358,-99.16007039,60702
JOSE ROSAS MORENO - GUILLERMO PRIETO E255,19.43716523,-99.16180888,44863
GOMEZ FARIAS - SADI CARNOT E256,19.43720572,-99.15816203,42980
MANUEL MARIA CONTRERAS - VILLALONGIN E257,19.43380601,-99.16621933,60419
TOMAS ALVA EDISON - PONCIANO ARRIAGA E259,19.43757059,-99.15467971,64271
AV. JUAREZ - BALDERAS E260,19.43538153,-99.1477292,62337
PASEO DE LA REFORMA - RIO DE LA PLATA E261,19.4249545,-99.17245704,108000
REPUBLICA DE CUBA - REPUBLICA DE BRASIL E262,19.43692419,-99.13394595,93458
SADI CARNOT - GOMEZ FARIAS E263,19.43627791,-99.15841291,80014
H. FERROCARRILEROS - JESUS GARCIA E264,19.44098977,-99.15293768,64826
JESUS GARCIA - HEROES FERROCARRILEROS E265,19.44083865,-99.15226499,49996
AV. JESUS GARCIA - CARLOS J. MENESES E266,19.44403452,-99.15218404,61004
CARLOS J. MENESES - AV. JESUS GARCIA E267,19.44374455,-99.15220167,49861
LUIS DONALDO COLOSIO - AV. JESUS GARCIA E268,19.44246654,-99.15165876,45649
LUIS DONALDO COLOSIO - ALDAMA E269,19.4424496,-99.15158467,50861
DE LA REPUBLICA - PONCIANO ARRIAGA E270,19.43676086,-99.1538689,41250
AV. JESUS GARCIA - J. MENESES E271,19.4439229,-99.1525302,74414
AV. JESUS GARCIA - J. MENESES E272,19.44355959,-99.15255563,60080
LUIS DONALDO COLOSIO - AV. JESUS GARCIA E273,19.44270929,-99.15295634,88393
LUIS DONALDO COLOSIO - AV. INSURGENTES NORTE E274,19.44277172,-99.15328924,64460
HEROES FERROCARRILEROS - AV. JESUS GARCIA E275,19.44106162,-99.15316159,65424
AGUSTIN MELGAR - ZAMORA E447,19.41886263,-99.17677741,70901
DR. ANDRADE - ARCOS DE BELEN E448,19.4266175,-99.14446803,39368
ACAPULCO - PUEBLA E449,19.42017838,-99.1743946,51536
RAMOS ARIZPE - PUENTE DE ALVARADO E450,19.43835874,-99.15222874,34928
ANAXAGORAS - OBRERO MUNDIAL E276,19.40198416,-99.15636537,37397
AMPLIACION TONALA - OBRERO MUNDIAL E277,19.401814,-99.15908987,35864
MIER Y PESADO - OBRERO MUNDIAL E278,19.40070941,-99.16382853,36204
LA MORENA - PROVIDENCIA E279,19.39991179,-99.16655026,42912
ANAXAGORAS - OBRERO MUNDIAL E280,19.40149808,-99.15640683,53915
PITAGORAS - LA MORENA E281,19.39853232,-99.157308,71391
LA MORENA - EJE 2 PONIENTE GABRIEL MANCERA E282,19.39869649,-99.16127271,68559
AV. COYOACAN - RAFAEL DONDE E283,19.39826924,-99.16738262,98684
DAKOTA - VERMONT E284,19.39769211,-99.17298357,61252
11 DE ABRIL - AVENIDA 2 E288,19.39633689,-99.18357183,85320
CHICAGO - YOSEMITE E289,19.3973068,-99.174551,80878
YOSEMITE - COLORADO E290,19.39637153,-99.17269501,62473
MAGDALENA - DIVISION DEL NORTE E291,19.39765271,-99.16994682,85249
ADOLFO PRIETO - EJE 4 SUR XOLA E292,19.39692369,-99.16626151,44617
MIER Y PESADO - EJE 4 SUR XOLA E293,19.39738148,-99.16459719,36434
NICOLAS SAN JUAN - EJE 4 SUR XOLA E294,19.39651937,-99.160924,44931
ANAXAGORAS - EJE 4 SUR XOLA E295,19.39632779,-99.15686783,76089
DIAGONAL SAN ANTONIO - ENRIQUE REBSAMEN E296,19.39427128,-99.15865963,45311
DIAGONAL SAN ANTONIO - ENRIQUE REBSAMEN E297,19.39441361,-99.15890608,71384
ROMERO DE TERREROS - GABRIEL MANCERA E298,19.39407076,-99.16214059,27032
ROMERO DE TERREROS - MIER Y PESADO E299,19.39460524,-99.16505625,45096
PROVIDENCIA - LUZ SAVIÑON E300,19.39327008,-99.16833317,45305
LUZ SAVIÑON - MAGDALENA E301,19.39380774,-99.17113402,46071
LUZ SAVIÑON - MAGDALENA E302,19.39383843,-99.17146604,46456
MONTESITO - AV. INSURGENTES E303,19.39483921,-99.17302643,46369
MONTESITO - DAKOTA E304,19.39505797,-99.17384852,40625
AVENIDA DEL PARQUE - ARIZONA E305,19.39469807,-99.17553053,43915
DAKOTA - FILADELFIA E306,19.39369902,-99.17566585,45053
MINESOTA - DAKOTA E307,19.39370449,-99.17583132,40895
NUEVA YORK - ARIZONA E308,19.39359541,-99.17807515,46202
PENNSYLVANIA - ARIZONA E309,19.39315646,-99.1795581,44553
CALLE 1 - AV. PATRIOTISMO E310,19.39532722,-99.18175293,45204
CALLE 5 - AVENIDA REVOLUCION E311,19.39366446,-99.18539286,50613
AVENIDA 2 - CALLE 7 E312,19.39263247,-99.18373925,45005
PENNSYLVANIA - OKLAHOMA E313,19.39142767,-99.17899124,53773
NUEVA YORK - LOUISIANA E314,19.39165209,-99.17732872,64152
ALABAMA - MONTANA E315,19.39147786,-99.17359886,62203
SAN FRANCISCO - CONCEPCION BEISTEGUI E316,19.39105402,-99.17119806,65899
AVENIDA COYOACAN - TORRES ADALID E317,19.39145786,-99.16615936,51939
LUZ SAVIÑON - AMORES E318,19.39224815,-99.16412803,42617
DIAGONAL SAN ANTONIO - LUZ SAVIÑON E319,19.39199429,-99.16268334,63693
ENRIQUE REBSAMEN - LUZ SAVIÑON E320,19.39132753,-99.15935698,60972
TORRES ADALID - ANAXAGORAS E321,19.38947853,-99.15751002,43115
HERIBERTO FRIAS - CONCEPCION BEISTEGUI E322,19.38853483,-99.16061785,56271
CONCEPCION BEISTEGUI - GABRIEL MANCERA E323,19.38902434,-99.16340288,33031
AMORES - AVENIDA EUGENIA E324,19.38725205,-99.16565618,48408
PROVIDENCIA - AVENIDA DEL VALLE E325,19.38818049,-99.16969088,38445
EUGENIA - NEBRASKA E326,19.38897991,-99.17481319,48880
GEORGIA - PENNSYLVANIA E327,19.38884812,-99.17771946,40348
AVENIDA 1 - CALLE 7 E328,19.39259293,-99.1847408,55640
CALLE 13 - AVENIDA 1 E329,19.39030726,-99.18480942,40286
CALLE 15 - AVENIDA PATRIOTISMO E330,19.38936566,-99.18260869,46919
AVENIDA 2 - CALLE 17 E331,19.38856707,-99.18395263,52866
SUR DE CALLE 27 - AVENIDA 3 E332,19.38550845,-99.18380848,57916
GEORGIA - CAROLINA E333,19.3876246,-99.18097576,58417
NUEVA YORK - AV. INSURGENTES E334,19.3865722,-99.17509232,66511
MAGDALENA - AMEYALCO E335,19.38700822,-99.17350347,77014
SAN BORJA - CDA. BARTOLOCHE E336,19.3855283,-99.16967413,62566
SAN BORJA - MARTIN MENLALDE E337,19.38484923,-99.16704057,62866
NICOLAS SAN JUAN - SAN BORJA E338,19.3842538,-99.16327298,58359
ENRIQUE REBSAMEN - AVENIDA EUGENIA E339,19.38603693,-99.16054332,73794
ANAXAGORAS - AVENIDA EUGENIA E340,19.3855701,-99.15818835,42626
SAN BORJA - AVENIDA CUAUHTEMOC E341,19.38285225,-99.15820518,53510
ANAXAGORAS - ANGEL URRAZA EJE 6 SUR E342,19.38107681,-99.15945596,25168
ENRIQUE REBSAMEN - DIVISION DEL NORTE E343,19.38410195,-99.16082678,37848
HERIBERTO FRIAS - ANGEL URRAZA EJE 6 SUR E344,19.38210862,-99.16224353,55631
MIRAFLORES - PATRICIO SANZ E345,19.3844957,-99.17222191,48119
SAN FRANCISCO - SANTA MARGARITA E346,19.38502417,-99.17407871,69139
PENNSYLVANIA - MAXIMINO AVILA CAMACHO E347,19.3843852,-99.17609512,51629
INDIANA - AVENIDA SAN ANTONIO E348,19.38536663,-99.17822031,67812
AUGUSTO RODIN - AVENIDA SAN ANTONIO E349,19.38569274,-99.18085802,89042
JOSE CLEMENTE OROZCO - CORREGGIO E350,19.38406213,-99.1814827,99064
CALLE 27 - AVENIDA REVOLUCION E351,19.38575111,-99.18629738,110735
TINTORETO - GIORGINE E352,19.3841128,-99.18544322,54627
CAROLINA - HOLBEIN E353,19.38216982,-99.17880904,26692
BOSTON - AV. INSURGENTES E354,19.3816643,-99.17668326,30273
CALIFORNIA - SACRAMENTO E355,19.38204893,-99.17328992,24153
MATIAS ROMERO - ADOLFO PRIETO E356,19.38129853,-99.17017388,32493
MATIAS ROMERO - AMORES E357,19.38060166,-99.16692711,26734
NICOLAS SAN JUAN - MATIAS ROMERO E358,19.38017761,-99.16422304,25349
MATIAS ROMERO - PESTALLOZZI E359,19.37927591,-99.16117231,26153
HERIBERTO FRIAS - MATIAS ROMERO E360,19.37903649,-99.16282596,27490
PORFIRIO DIAZ - CAPULIN E361,19.38071468,-99.17508091,22460
AUGUSTO RODIN - ALBERTO BALDERAS E362,19.38220862,-99.181043,21240
HOLBEIN - PAULO UCELLO E363,19.38081286,-99.18384969,24142
BOTICHELLI - CDA. DE GIORGONE E364,19.38306655,-99.18586062,25884
HOLBEIN - AVENIDA REVOLUCION E365,19.38111703,-99.18669127,28712
PORFIRIO DIAZ - AUGUSTO RODIN E366,19.37835033,-99.18197361,33490
BOSTON - AUGUSTO RODIN E367,19.379469,-99.18163133,23065
PORFIRIO DIAZ - CINCINATTI E368,19.37924375,-99.17934602,24923
PORFIRIO DIAZ - AV. INSURGENTES E369,19.37988719,-99.17747107,26570
TLACOQUEMECATL - AV. INSURGENTES E370,19.37882024,-99.17705435,25496
TLACOQUEMECATL - CAPULIN E371,19.37854977,-99.17433226,34889
DR. ROBERTO GAYOL - TLACOQUEMECATL E372,19.3779699,-99.17029113,32287
PILARES - GABRIEL MANCERA E373,19.37797003,-99.16666396,33824
PITAGORAS - PILARES E374,19.37697013,-99.16112539,28283
TENAYUCA - DIVISION DEL NORTE E375,19.37692231,-99.15880458,48680
PITAGORAS - AV. UNIVERSIDAD E376,19.37544877,-99.16159559,24402
HERIBERTO FRIAS - MIGUEL LAURENT E377,19.37540357,-99.16376443,25062
MIGUEL LAURENT - AMORES E378,19.37582296,-99.16807385,23156
DR. ROBERTO GAYOL - MIGUEL LAURENT E379,19.37575264,-99.17083954,28387
MORAS - SAN LORENZO E380,19.37488023,-99.17351448,34493
SAN LORENZO - MANZANAS E381,19.37553894,-99.17789004,34880
SAN LORENZO - AV. INSURGENTES E382,19.37559313,-99.1780846,37745
LUIS CARACCI - 2DA. LUIS CARACCI E383,19.37576347,-99.1815288,32052
EMPRESA - POUSSIN E384,19.3758745,-99.1855834,29739
POUSSIN - EMPRESA E385,19.37564999,-99.18558189,39951
POUSSIN - DONATELLO E386,19.37484127,-99.18584184,25189
CADIZ - EMPRESA E387,19.37455697,-99.18050355,24182
VALENCIA - MALAGA E388,19.37303985,-99.18135794,24861
SANTANDER - FELIX CUEVAS E389,19.37352584,-99.17935018,23860
OSO - FELIX CUEVAS E390,19.37323173,-99.1782609,30172
OSO - FELIX CUEVAS E391,19.37314038,-99.17828301,17575
PATRICIO SANZ - FELIX CUEVAS E392,19.37300761,-99.17477468,22855
ADOLFO PRIETO - FELIX CUEVAS E393,19.3727967,-99.17255853,24226
DR. ROBERTO GAYOL - FELIX CUEVAS E394,19.37244171,-99.17159565,25244
SAN LORENZO - CALLEJON MARTIN MENLALDE E395,19.3737492,-99.16981343,25443
MARTIN MENLALDE - FELIX CUEVAS E396,19.37155244,-99.17018712,27070
SAN LORENZO - GABRIEL MANCERA E397,19.3732006,-99.16725018,33062
SANCHEZ AZCONA - FELIX CUEVAS E398,19.37103728,-99.16566291,25454
HERIBERTO FRIAS - SAN LORENZO E399,19.37241124,-99.16451888,27456
SAN LORENZO - HERIBERTO FRIAS E400,19.37264701,-99.16427838,24324
SAN LORENZO - AVENIDA CUAUHTEMOC E401,19.37214755,-99.16157848,27591
UXMAL - MUNICIPIO LIBRE E402,19.37094549,-99.1587258,17476
UXMAL - MUNICIPIO LIBRE E403,19.37137236,-99.15863784,25860
MIGUEL LAURENT - AVENIDA DIVISION DEL NORTE E404,19.3738222,-99.15738525,22244
DIVISION DEL NORTE - MUNICIPIO LIBRE E405,19.3703681,-99.15663276,28380
PARROQUIA - AV. MEXICO COYOACAN E406,19.36783658,-99.16326302,25763
PROLONGACION XOCHICALCO - GENERAL EMILIANO ZAPATA E407,19.36729872,-99.15869198,24735
PROLONGACION PETEN - GENERAL EMILIANO ZAPATA E408,19.36677513,-99.15684185,26018
AZORES - DIVISION DEL NORTE E409,19.36510452,-99.15550119,26858
PROLONGACION TAJIN - PROLONGACION REPUBLICAS E410,19.36564022,-99.15806583,15790
PARROQUIA - AVENIDA MEXICO COYOACAN E411,19.3678682,-99.16362838,21869
PARROQUIA - AVENIDA UNIVERSIDAD E412,19.36842238,-99.16541458,18294
PARROQUIA - AVENIDA COYOACAN E413,19.36978181,-99.17190543,18701
PARROQUIA - JOSE IGNACIO BARTOLACHE E414,19.37018411,-99.17371435,21939
SAN FRANCISCO - PARROQUIA E415,19.37150101,-99.17601906,22176
RECREO - PARROQUIA E416,19.37130829,-99.1776088,19538
GOYA - AUGUSTO RODIN E417,19.37326309,-99.18433643,24094
GALICIA - ACTIPAN E418,19.37115132,-99.18303308,25923
ACTIPAN - CADIZ E419,19.37060902,-99.1815016,21449
MARIA LUZ BRINGAS - OSO E420,19.36973036,-99.17964075,29999
MARIA LUZ BRINGAS - OSO E421,19.36946542,-99.17939897,16246
BUFALO - JOSE MARIA RICO (EJE 8) E422,19.36836236,-99.17749526,12334
MORAS - JOSE MARIA RICO (EJE 8) E423,19.36763295,-99.17534321,10924
AMORES - JOSE MARIA RICO (EJE 8) E424,19.36721167,-99.17053196,13752
NICOLAS SAN JUAN - AVENIDA UNIVERSIDAD E425,19.3670868,-99.16740854,17435
CERRADA DE POPOCATEPETL - AV. POPOCATEPETL EJE 8 E426,19.3655186,-99.16601464,16419
AVENIDA MEXICO COYOACAN - AV. POPOCATEPETL EJE 8 E427,19.36502142,-99.16299605,20681
PROLONGACION UXMAL - AV. POPOCATEPETL (EJE 8) E428,19.36342495,-99.16035408,18210
PIRINEOS - AV. POPOCATEPETL (EJE 8) E429,19.36306975,-99.15829119,18474
